Car_Brand,Model,Engine_Type,Fuel_Efficiency,Safety_Rating,Price,Price_IR,Driving_Condition,Temperature,Road_Type,Traffic_Level,Weather_Condition,Engine_Performance,Battery_Range,Braking_Performance,Comfort_Rating,Emissions,Acceleration,Suspension_Performance,Vehicle_Condition,Tire_Condition,Driver_Experience,Performance_Optimization,Scenario_Adaptability,Rim_Wheel_Size,Rim_Wheel_Style,Rim_Wheel_Material,Spoiler,Bumper_Type,Side_Skirts,Power_Upgrade,Turbo_Supercharger
Hyundai,Sonata,Electric,39,5,62243,5290655,Extreme Weather,22,Highway,Low,Rainy,250,,120,7,295,5,7,Well-maintained,New,Expert,Low,2,17,Luxury,Steel,No,Sport,No,Stage 1,Supercharger
Hyundai,Kona EV,Diesel,28,5,44982,3823470,Off-Road,23,City streets,High,Clear,307,,180,9,219,7,7,Moderate wear,New,Intermediate,Medium,8,19,Sport,Carbon Fiber,No,Reinforced,No,Stock,None
Tesla,Model 3,Petrol,16,4,64007,5440595,Urban,1,Off-road terrain,Low,Rainy,383,,134,9,242,6,8,Poor,Worn,Intermediate,Medium,8,21,Off-road,Carbon Fiber,Yes,Reinforced,No,Stage 1,None
Ford,Mustang,Electric,29,5,53760,4569600,Heavy Traffic,28,Highway,High,Clear,431,,156,6,156,8,8,Poor,Worn,Novice,Medium,6,18,Off-road,Carbon Fiber,Yes,Reinforced,Yes,Stage 2,None
BMW,3 Series,Electric,24,4,53988,4588980,Highway,-3,Off-road terrain,High,Clear,399,,119,8,273,7,7,Poor,Flat,Expert,High,7,17,Sport,Alloy,Yes,Reinforced,No,Stage 1,Supercharger
Hyundai,Kona EV,Diesel,24,4,62098,5278330,Highway,12,City streets,Low,Snowy,430,,177,9,174,7,7,Moderate wear,Flat,Expert,Low,5,20,Sport,Carbon Fiber,Yes,Sport,No,Stage 3,Supercharger
Tesla,Model S,Electric,26,5,58756,4994260,Urban,12,Off-road terrain,Medium,Rainy,459,,105,8,272,6,5,Poor,Worn,Novice,High,10,20,Classic,Alloy,No,Reinforced,No,Stage 2,Turbo
Ford,Mustang,Petrol,15,4,70411,5984935,Heavy Traffic,34,City streets,High,Rainy,384,,132,7,189,9,5,Moderate wear,New,Intermediate,Medium,9,17,Luxury,Steel,Yes,Sport,Yes,Stage 1,Turbo
Tesla,Model 3,Diesel,36,5,74011,6290935,Heavy Traffic,18,Highway,Medium,Rainy,288,,147,9,188,7,7,Well-maintained,Worn,Intermediate,Medium,5,21,Luxury,Steel,Yes,Standard,No,Stock,None
Tesla,Model 3,Electric,15,5,56526,4804710,Highway,10,City streets,Low,Snowy,262,,192,6,298,6,9,Well-maintained,Worn,Intermediate,Low,9,18,Classic,Steel,Yes,Reinforced,Yes,Stage 1,Supercharger
Mercedes,E-Class,Electric,17,4,64553,5487005,Extreme Weather,3,City streets,Low,Clear,161,,109,6,160,8,9,Moderate wear,Worn,Expert,High,8,17,Luxury,Carbon Fiber,No,Reinforced,Yes,Stage 1,Supercharger
Hyundai,Kona EV,Electric,18,4,25534,2170390,Heavy Traffic,32,Off-road terrain,High,Rainy,457,,179,8,171,9,7,Well-maintained,Worn,Novice,Low,7,17,Luxury,Carbon Fiber,Yes,Standard,Yes,Stage 3,Supercharger
BMW,X5,Electric,16,4,40719,3461115,Off-Road,20,City streets,Low,Snowy,482,,154,8,185,5,8,Well-maintained,Worn,Novice,Low,2,21,Classic,Steel,Yes,Standard,Yes,Stage 2,Turbo
BMW,3 Series,Electric,23,5,37952,3225920,Off-Road,14,Highway,Low,Snowy,172,,171,9,261,7,5,Well-maintained,Flat,Novice,High,5,19,Sport,Steel,Yes,Standard,Yes,Stock,Turbo
Ford,F-150,Electric,17,5,77442,6582570,Heavy Traffic,33,Off-road terrain,Medium,Clear,211,,138,6,268,6,5,Poor,New,Intermediate,High,10,20,Off-road,Alloy,No,Standard,No,Stage 2,Supercharger
BMW,3 Series,Diesel,30,4,63642,5409570,Off-Road,23,Highway,Low,Snowy,168,,107,7,187,9,9,Well-maintained,Worn,Expert,Low,1,17,Off-road,Alloy,Yes,Sport,No,Stock,Turbo
Toyota,Corolla,Electric,34,5,36607,3111595,Highway,0,Highway,High,Clear,312,,197,7,211,9,6,Well-maintained,Worn,Intermediate,Medium,10,17,Sport,Alloy,Yes,Reinforced,No,Stage 3,Supercharger
Toyota,Camry,Electric,30,5,71990,6119150,Heavy Traffic,3,Highway,High,Rainy,195,,121,9,157,7,8,Poor,Worn,Expert,High,2,21,Off-road,Carbon Fiber,No,Reinforced,Yes,Stock,Turbo
Ford,F-150,Electric,36,4,25153,2138005,Urban,1,Highway,Low,Snowy,467,,122,7,205,5,9,Poor,Flat,Intermediate,Medium,1,18,Classic,Carbon Fiber,No,Sport,Yes,Stock,Turbo
BMW,3 Series,Petrol,31,5,35187,2990895,Extreme Weather,12,City streets,High,Rainy,377,,162,8,287,7,7,Well-maintained,Worn,Expert,Medium,4,21,Luxury,Alloy,No,Standard,Yes,Stage 3,None
Mercedes,E-Class,Electric,30,4,30420,2585700,Extreme Weather,13,Off-road terrain,Medium,Clear,349,,117,9,188,5,5,Well-maintained,Worn,Expert,Medium,7,20,Luxury,Steel,No,Reinforced,No,Stage 2,Turbo
Toyota,Corolla,Petrol,31,4,45112,3834520,Extreme Weather,1,Off-road terrain,Medium,Clear,242,,193,8,271,7,5,Poor,Flat,Novice,High,7,20,Luxury,Carbon Fiber,Yes,Standard,No,Stage 1,Turbo
Tesla,Model 3,Petrol,27,4,62438,5307230,Heavy Traffic,5,Off-road terrain,Low,Snowy,180,,101,8,164,5,7,Moderate wear,Flat,Expert,High,2,17,Classic,Alloy,No,Standard,Yes,Stage 3,None
Mercedes,GLE,Petrol,22,4,42139,3581815,Heavy Traffic,13,Off-road terrain,Medium,Clear,226,,165,6,210,6,5,Poor,Flat,Intermediate,Low,7,17,Luxury,Steel,No,Reinforced,No,Stock,Supercharger
Ford,F-150,Diesel,23,5,73412,6240020,Extreme Weather,22,Highway,High,Rainy,302,,196,8,264,6,6,Poor,New,Novice,High,5,19,Classic,Carbon Fiber,Yes,Sport,No,Stock,Supercharger
BMW,X5,Diesel,28,4,61758,5249430,Extreme Weather,21,City streets,High,Snowy,242,,135,6,202,5,9,Well-maintained,Worn,Expert,Medium,5,18,Luxury,Alloy,No,Sport,Yes,Stage 1,Turbo
BMW,3 Series,Petrol,21,5,56854,4832590,Extreme Weather,19,Highway,High,Clear,310,,113,9,230,9,8,Well-maintained,Flat,Novice,Low,1,19,Luxury,Alloy,No,Reinforced,No,Stage 3,Supercharger
Ford,F-150,Diesel,19,4,26256,2231760,Extreme Weather,21,City streets,Low,Rainy,367,,176,8,270,7,7,Poor,New,Intermediate,Low,1,18,Luxury,Steel,No,Sport,No,Stock,Supercharger
Toyota,Corolla,Electric,20,5,41217,3503445,Urban,4,Highway,High,Snowy,365,,175,8,268,7,6,Well-maintained,New,Novice,Medium,1,20,Off-road,Carbon Fiber,No,Sport,Yes,Stock,None
Hyundai,Kona EV,Petrol,20,4,64999,5524915,Urban,18,Highway,Low,Clear,395,,198,7,209,8,6,Moderate wear,Flat,Intermediate,Medium,7,21,Off-road,Alloy,Yes,Standard,No,Stage 2,Turbo
Tesla,Model 3,Petrol,37,4,31688,2693480,Extreme Weather,18,City streets,High,Snowy,402,,109,9,279,7,7,Poor,Worn,Expert,Low,4,17,Sport,Carbon Fiber,No,Sport,Yes,Stock,Supercharger
BMW,3 Series,Diesel,22,5,40369,3431365,Urban,12,City streets,Medium,Rainy,233,,197,8,220,6,9,Poor,New,Intermediate,High,3,20,Luxury,Alloy,No,Reinforced,No,Stage 2,None
Ford,F-150,Electric,15,4,51115,4344775,Extreme Weather,16,Highway,Low,Clear,429,,113,9,173,8,9,Well-maintained,Worn,Intermediate,Medium,6,17,Luxury,Alloy,Yes,Sport,No,Stage 1,Turbo
Hyundai,Sonata,Electric,36,5,54332,4618220,Urban,31,City streets,Medium,Snowy,444,,141,9,178,7,7,Moderate wear,Flat,Intermediate,Medium,10,19,Off-road,Alloy,Yes,Sport,Yes,Stage 1,Turbo
Hyundai,Kona EV,Electric,38,4,72476,6160460,Highway,-4,City streets,Medium,Rainy,380,,170,9,240,5,6,Moderate wear,New,Novice,High,4,18,Classic,Steel,No,Reinforced,Yes,Stock,Turbo
Mercedes,E-Class,Petrol,21,4,50869,4323865,Extreme Weather,12,Highway,High,Clear,350,,105,8,197,9,5,Poor,New,Expert,Low,6,21,Luxury,Alloy,No,Sport,Yes,Stage 1,Supercharger
Mercedes,E-Class,Diesel,29,5,28572,2428620,Urban,27,Highway,Medium,Rainy,169,,159,7,256,5,6,Well-maintained,New,Novice,High,2,17,Sport,Carbon Fiber,No,Sport,No,Stage 2,None
Mercedes,E-Class,Diesel,24,5,71739,6097815,Highway,29,City streets,High,Clear,470,,141,6,286,8,7,Well-maintained,New,Novice,Medium,6,20,Classic,Carbon Fiber,Yes,Sport,No,Stage 2,Supercharger
Toyota,Corolla,Electric,31,4,36246,3080910,Extreme Weather,28,Off-road terrain,Low,Clear,374,,150,9,219,9,6,Well-maintained,Worn,Novice,Medium,4,21,Sport,Alloy,Yes,Reinforced,Yes,Stage 1,None
BMW,X5,Diesel,24,4,65771,5590535,Highway,10,Off-road terrain,Medium,Clear,250,,128,8,231,6,6,Poor,Worn,Novice,Low,5,19,Classic,Carbon Fiber,Yes,Standard,No,Stage 2,Turbo
Toyota,Corolla,Diesel,24,5,49217,4183445,Extreme Weather,27,Highway,High,Clear,331,,183,6,226,5,9,Poor,New,Expert,Low,1,21,Sport,Carbon Fiber,Yes,Standard,Yes,Stock,Supercharger
Toyota,Camry,Electric,23,4,63106,5364010,Heavy Traffic,25,City streets,High,Rainy,159,,107,6,208,6,9,Moderate wear,Worn,Expert,High,4,20,Luxury,Carbon Fiber,No,Reinforced,No,Stock,None
Toyota,Camry,Diesel,16,5,50984,4333640,Heavy Traffic,16,Off-road terrain,Medium,Clear,192,,173,7,171,6,6,Moderate wear,Worn,Intermediate,High,5,20,Classic,Carbon Fiber,No,Sport,Yes,Stage 2,None
Ford,F-150,Diesel,35,4,79538,6760730,Heavy Traffic,32,Off-road terrain,High,Rainy,448,,119,9,170,6,5,Moderate wear,Worn,Intermediate,Medium,9,21,Luxury,Carbon Fiber,Yes,Sport,No,Stage 3,None
Hyundai,Sonata,Petrol,31,4,47331,4023135,Highway,20,Off-road terrain,High,Snowy,424,,150,6,219,9,7,Moderate wear,New,Expert,Low,10,21,Sport,Steel,No,Standard,Yes,Stock,Turbo
Hyundai,Sonata,Diesel,39,5,60931,5179135,Off-Road,17,Off-road terrain,Low,Snowy,471,,165,9,222,8,9,Poor,New,Novice,Low,5,18,Classic,Steel,No,Reinforced,No,Stage 2,None
Hyundai,Kona EV,Diesel,23,4,39381,3347385,Off-Road,34,Highway,Low,Clear,342,,173,8,281,7,6,Poor,Flat,Intermediate,Medium,1,18,Sport,Steel,Yes,Reinforced,No,Stage 1,None
Tesla,Model 3,Petrol,16,5,74545,6336325,Off-Road,14,Off-road terrain,Medium,Clear,459,,130,7,253,6,6,Moderate wear,Worn,Novice,Low,3,19,Luxury,Carbon Fiber,Yes,Sport,No,Stage 1,None
BMW,3 Series,Electric,23,5,40707,3460095,Off-Road,11,Highway,High,Snowy,339,,193,6,288,8,7,Well-maintained,Flat,Intermediate,Low,4,17,Classic,Steel,Yes,Sport,No,Stage 3,Turbo
BMW,X5,Electric,27,4,29967,2547195,Extreme Weather,21,City streets,High,Rainy,222,,103,9,222,9,6,Moderate wear,Worn,Novice,Low,10,18,Luxury,Alloy,No,Standard,No,Stage 1,None
Tesla,Model 3,Petrol,36,4,79931,6794135,Off-Road,-4,Highway,Medium,Clear,354,,157,6,291,9,8,Poor,New,Novice,Medium,2,17,Luxury,Steel,Yes,Sport,Yes,Stock,Turbo
Toyota,Camry,Petrol,31,4,51759,4399515,Off-Road,8,Off-road terrain,Low,Snowy,212,,161,8,198,7,5,Moderate wear,Flat,Expert,Medium,7,20,Sport,Carbon Fiber,No,Reinforced,Yes,Stage 2,Supercharger
Hyundai,Kona EV,Diesel,36,5,41774,3550790,Urban,32,Highway,Low,Clear,224,,128,8,201,5,7,Moderate wear,Worn,Novice,High,9,18,Luxury,Steel,Yes,Standard,Yes,Stage 3,Supercharger
Ford,F-150,Petrol,17,4,53039,4508315,Heavy Traffic,9,City streets,Medium,Snowy,251,,153,7,185,6,5,Moderate wear,Flat,Intermediate,High,7,18,Luxury,Carbon Fiber,No,Reinforced,Yes,Stock,Supercharger
Toyota,Corolla,Electric,29,5,54898,4666330,Urban,23,Off-road terrain,High,Snowy,225,,129,9,280,5,6,Well-maintained,Flat,Intermediate,Medium,7,21,Sport,Carbon Fiber,No,Reinforced,No,Stage 3,Supercharger
Tesla,Model S,Electric,32,4,27219,2313615,Urban,11,Highway,Low,Clear,340,,150,6,290,9,7,Moderate wear,New,Expert,High,10,21,Sport,Steel,Yes,Standard,Yes,Stage 1,Supercharger
BMW,3 Series,Electric,34,4,77745,6608325,Urban,24,City streets,High,Clear,174,,111,6,174,7,5,Moderate wear,Worn,Intermediate,Low,9,17,Classic,Alloy,No,Reinforced,Yes,Stage 1,None
Tesla,Model 3,Petrol,17,5,30055,2554675,Urban,-1,City streets,Low,Rainy,296,,122,6,267,6,5,Moderate wear,Worn,Intermediate,High,10,21,Off-road,Steel,No,Sport,No,Stage 1,None
Ford,F-150,Diesel,16,5,41686,3543310,Highway,9,Off-road terrain,Medium,Snowy,432,,173,8,221,8,8,Moderate wear,Flat,Novice,Medium,1,20,Off-road,Steel,Yes,Standard,Yes,Stock,Supercharger
BMW,3 Series,Diesel,16,5,51958,4416430,Urban,26,Off-road terrain,Low,Clear,301,,187,8,164,6,5,Poor,New,Novice,High,10,18,Sport,Carbon Fiber,No,Sport,No,Stage 1,None
Mercedes,GLE,Electric,26,5,58640,4984400,Heavy Traffic,0,City streets,Medium,Rainy,479,,153,9,228,6,5,Moderate wear,Worn,Novice,Low,5,17,Classic,Alloy,Yes,Reinforced,No,Stock,None
Tesla,Model 3,Petrol,21,5,31319,2662115,Off-Road,6,Off-road terrain,Low,Snowy,241,,122,8,258,9,8,Moderate wear,Flat,Intermediate,Medium,1,18,Sport,Steel,Yes,Standard,No,Stage 3,Supercharger
Hyundai,Sonata,Diesel,21,4,78182,6645470,Urban,20,Highway,Medium,Rainy,437,,185,7,206,9,5,Poor,Flat,Novice,High,10,20,Luxury,Alloy,Yes,Standard,Yes,Stock,Supercharger
Tesla,Model S,Electric,27,4,73112,6214520,Urban,29,Off-road terrain,Medium,Clear,437,,151,8,267,6,7,Poor,Worn,Expert,Medium,4,20,Classic,Alloy,Yes,Standard,Yes,Stock,None
Toyota,Corolla,Diesel,38,4,58524,4974540,Extreme Weather,3,Off-road terrain,Low,Rainy,336,,169,7,241,6,9,Well-maintained,Flat,Expert,Low,5,21,Sport,Steel,Yes,Sport,No,Stage 1,None
Tesla,Model 3,Petrol,31,4,32779,2786215,Off-Road,30,Highway,Low,Rainy,217,,143,6,210,7,9,Moderate wear,New,Expert,Low,2,20,Luxury,Steel,No,Sport,Yes,Stage 3,Turbo
Toyota,Corolla,Diesel,15,5,22586,1919810,Urban,19,Highway,Medium,Rainy,338,,102,8,190,9,7,Poor,Worn,Intermediate,Low,8,20,Off-road,Steel,Yes,Sport,No,Stage 3,Supercharger
Ford,F-150,Diesel,21,5,78706,6690010,Highway,24,City streets,High,Rainy,360,,130,9,172,9,5,Poor,Flat,Novice,High,1,19,Luxury,Steel,Yes,Sport,No,Stage 1,Turbo
BMW,X5,Petrol,36,4,61996,5269660,Off-Road,5,City streets,Medium,Snowy,497,,123,6,222,6,8,Well-maintained,Worn,Intermediate,Low,1,17,Off-road,Steel,Yes,Standard,Yes,Stage 1,Turbo
Mercedes,E-Class,Petrol,29,5,39317,3341945,Extreme Weather,8,Highway,Low,Rainy,151,,123,7,213,8,6,Poor,New,Intermediate,Medium,7,19,Sport,Carbon Fiber,No,Standard,No,Stage 2,Turbo
Ford,F-150,Petrol,31,5,67409,5729765,Extreme Weather,16,Off-road terrain,Medium,Clear,313,,155,8,170,9,5,Poor,Flat,Intermediate,High,6,20,Sport,Carbon Fiber,Yes,Sport,No,Stage 2,None
Hyundai,Sonata,Electric,21,4,66029,5612465,Heavy Traffic,-1,Highway,Medium,Snowy,197,,173,7,230,9,8,Well-maintained,New,Novice,Low,1,17,Sport,Steel,No,Reinforced,No,Stock,Supercharger
Hyundai,Sonata,Electric,30,5,54600,4641000,Highway,24,City streets,Low,Clear,477,,148,8,205,5,8,Well-maintained,Worn,Novice,High,9,21,Off-road,Alloy,No,Standard,Yes,Stage 2,Turbo
Toyota,Camry,Electric,23,5,65371,5556535,Highway,23,Highway,Medium,Rainy,294,,159,7,210,5,5,Moderate wear,Flat,Expert,High,2,21,Sport,Steel,Yes,Sport,Yes,Stage 2,Turbo
BMW,X5,Diesel,34,5,24512,2083520,Highway,10,Off-road terrain,High,Clear,379,,123,6,267,6,5,Well-maintained,Worn,Novice,Medium,9,19,Sport,Alloy,Yes,Sport,Yes,Stage 1,Turbo
BMW,X5,Diesel,23,5,49369,4196365,Off-Road,25,Off-road terrain,Medium,Snowy,386,,198,6,210,9,6,Poor,Flat,Expert,High,4,18,Classic,Steel,No,Standard,No,Stage 1,None
BMW,3 Series,Electric,30,5,21509,1828265,Urban,16,City streets,High,Clear,264,,126,6,195,5,7,Well-maintained,Worn,Novice,Low,10,17,Luxury,Steel,No,Sport,Yes,Stock,None
Toyota,Corolla,Electric,16,4,38880,3304800,Highway,30,Off-road terrain,Low,Rainy,317,,137,6,286,9,7,Well-maintained,Flat,Intermediate,Medium,8,20,Off-road,Carbon Fiber,Yes,Standard,Yes,Stage 2,Supercharger
Tesla,Model 3,Petrol,33,5,35831,3045635,Highway,-3,Highway,Low,Clear,156,,108,8,203,6,9,Poor,Worn,Intermediate,Medium,1,17,Off-road,Steel,Yes,Sport,Yes,Stage 2,Turbo
Hyundai,Kona EV,Diesel,30,4,68926,5858710,Off-Road,8,City streets,High,Clear,424,,180,8,283,7,5,Well-maintained,Worn,Novice,Low,7,17,Sport,Carbon Fiber,Yes,Reinforced,No,Stage 3,Supercharger
Hyundai,Kona EV,Electric,31,5,65881,5599885,Heavy Traffic,18,Off-road terrain,Low,Snowy,239,,167,8,194,8,5,Well-maintained,Flat,Novice,Medium,4,17,Classic,Carbon Fiber,Yes,Sport,Yes,Stock,None
Tesla,Model S,Electric,35,4,66585,5659725,Urban,22,City streets,High,Rainy,409,,178,6,257,7,6,Poor,Worn,Expert,Medium,1,21,Luxury,Alloy,No,Sport,Yes,Stage 3,Turbo
Tesla,Model 3,Electric,39,5,31906,2712010,Heavy Traffic,-3,City streets,High,Rainy,249,,160,6,271,6,8,Well-maintained,Worn,Intermediate,Low,1,17,Sport,Steel,No,Sport,No,Stock,None
Hyundai,Kona EV,Petrol,35,5,77795,6612575,Off-Road,15,City streets,High,Snowy,431,,140,7,187,7,5,Well-maintained,Flat,Expert,Low,1,20,Classic,Steel,Yes,Sport,No,Stage 3,Turbo
BMW,X5,Petrol,20,4,75152,6387920,Off-Road,8,City streets,Low,Rainy,204,,150,7,178,9,5,Moderate wear,New,Novice,Medium,8,18,Classic,Carbon Fiber,Yes,Reinforced,Yes,Stage 2,Supercharger
Ford,F-150,Electric,27,4,24001,2040085,Heavy Traffic,22,Off-road terrain,High,Snowy,374,,197,6,218,7,9,Poor,Flat,Intermediate,High,7,20,Off-road,Alloy,No,Standard,No,Stage 1,None
Hyundai,Kona EV,Electric,19,5,42491,3611735,Highway,2,Off-road terrain,Medium,Clear,270,,168,7,271,6,5,Poor,Worn,Intermediate,High,1,19,Sport,Steel,No,Standard,Yes,Stage 1,Turbo
BMW,3 Series,Electric,34,5,37625,3198125,Heavy Traffic,17,Highway,Medium,Clear,191,,111,6,222,7,8,Poor,Worn,Novice,Medium,3,18,Sport,Steel,Yes,Standard,Yes,Stock,Turbo
Ford,Mustang,Diesel,21,4,57271,4868035,Heavy Traffic,3,City streets,Medium,Snowy,261,,120,8,238,7,5,Well-maintained,Flat,Intermediate,High,9,20,Sport,Carbon Fiber,No,Standard,Yes,Stage 1,Turbo
Toyota,Corolla,Electric,39,4,39945,3395325,Urban,23,Highway,Low,Rainy,345,,193,9,280,7,6,Moderate wear,New,Expert,High,9,21,Off-road,Alloy,No,Sport,Yes,Stock,None
Toyota,Corolla,Diesel,37,4,36226,3079210,Heavy Traffic,31,Off-road terrain,Low,Rainy,417,,110,9,221,5,8,Moderate wear,Worn,Expert,Medium,1,19,Classic,Steel,No,Sport,No,Stage 3,Supercharger
Ford,Mustang,Petrol,36,4,23130,1966050,Extreme Weather,27,Off-road terrain,Low,Snowy,414,,108,6,176,5,8,Well-maintained,New,Intermediate,High,1,18,Sport,Alloy,Yes,Reinforced,No,Stage 3,Turbo
Toyota,Camry,Petrol,36,4,57552,4891920,Urban,12,City streets,High,Snowy,285,,102,7,174,6,9,Poor,Flat,Intermediate,Medium,5,19,Classic,Alloy,Yes,Reinforced,Yes,Stock,Turbo
Toyota,Corolla,Petrol,23,4,58910,5007350,Highway,10,Off-road terrain,Medium,Clear,284,,177,8,212,5,7,Well-maintained,New,Novice,Low,9,21,Sport,Carbon Fiber,Yes,Standard,Yes,Stage 3,Supercharger
Mercedes,GLE,Electric,23,5,49048,4169080,Heavy Traffic,16,Highway,Low,Clear,359,,149,6,188,7,8,Well-maintained,New,Intermediate,Medium,3,19,Sport,Steel,No,Reinforced,Yes,Stage 2,Turbo
Mercedes,GLE,Electric,24,5,57820,4914700,Off-Road,17,Off-road terrain,Medium,Snowy,482,,115,6,247,9,9,Moderate wear,New,Expert,Medium,4,21,Sport,Alloy,No,Reinforced,No,Stage 3,None
Toyota,Corolla,Diesel,31,5,34677,2947545,Extreme Weather,7,Off-road terrain,Low,Rainy,417,,103,6,244,9,5,Poor,Worn,Expert,Low,8,19,Sport,Alloy,Yes,Standard,Yes,Stage 2,Turbo
Mercedes,E-Class,Petrol,24,5,75186,6390810,Urban,10,City streets,Medium,Rainy,442,,178,6,226,9,7,Moderate wear,Worn,Intermediate,Low,1,18,Classic,Carbon Fiber,Yes,Reinforced,No,Stock,Supercharger
Mercedes,E-Class,Electric,22,5,49250,4186250,Heavy Traffic,1,Off-road terrain,High,Clear,344,,192,7,252,6,7,Poor,New,Intermediate,High,10,21,Luxury,Alloy,Yes,Standard,No,Stage 1,None
BMW,X5,Electric,15,5,48584,4129640,Off-Road,20,City streets,Low,Snowy,154,,177,8,236,8,8,Poor,Flat,Intermediate,Medium,3,18,Sport,Carbon Fiber,No,Sport,Yes,Stock,None
Toyota,Corolla,Electric,20,4,28009,2380765,Heavy Traffic,25,City streets,High,Rainy,367,,165,6,226,7,6,Poor,New,Intermediate,High,2,17,Off-road,Alloy,Yes,Standard,Yes,Stock,None
Hyundai,Kona EV,Electric,22,5,53979,4588215,Off-Road,2,Highway,High,Clear,286,,189,7,229,9,9,Moderate wear,Flat,Expert,Medium,8,18,Off-road,Carbon Fiber,Yes,Sport,No,Stage 1,Supercharger
BMW,X5,Electric,24,5,54241,4610485,Highway,19,City streets,Medium,Snowy,398,,175,6,187,5,6,Well-maintained,Worn,Intermediate,High,2,18,Off-road,Alloy,No,Sport,No,Stock,None
Hyundai,Kona EV,Petrol,36,5,36571,3108535,Extreme Weather,1,City streets,Medium,Snowy,204,,156,6,196,9,5,Well-maintained,New,Intermediate,Low,7,19,Luxury,Alloy,Yes,Reinforced,Yes,Stage 3,Turbo
Ford,F-150,Diesel,26,5,57001,4845085,Heavy Traffic,-4,Highway,Low,Snowy,465,,146,9,156,7,9,Well-maintained,New,Novice,Low,3,18,Classic,Carbon Fiber,Yes,Sport,No,Stage 2,None
Mercedes,GLE,Electric,39,5,76091,6467735,Urban,0,Highway,High,Rainy,403,,196,9,173,9,5,Moderate wear,New,Expert,High,5,20,Off-road,Alloy,Yes,Reinforced,No,Stage 3,Turbo
BMW,3 Series,Electric,38,5,73232,6224720,Highway,12,City streets,Low,Snowy,180,,158,9,279,5,9,Poor,Flat,Expert,Medium,1,21,Off-road,Alloy,No,Sport,No,Stage 3,None
Ford,F-150,Petrol,26,4,30315,2576775,Highway,29,Off-road terrain,Low,Rainy,270,,167,6,233,6,8,Moderate wear,Worn,Novice,Low,1,21,Luxury,Steel,No,Sport,No,Stage 1,Turbo
Tesla,Model S,Diesel,16,4,66882,5684970,Urban,7,Off-road terrain,High,Rainy,260,,176,9,200,6,9,Well-maintained,Worn,Intermediate,High,7,19,Luxury,Steel,No,Standard,No,Stage 3,Supercharger
BMW,3 Series,Petrol,25,4,21391,1818235,Off-Road,7,City streets,High,Snowy,372,,179,7,274,8,5,Moderate wear,Worn,Intermediate,Medium,4,20,Luxury,Alloy,Yes,Standard,Yes,Stage 3,None
Toyota,Corolla,Electric,32,4,41392,3518320,Highway,-4,Off-road terrain,Medium,Snowy,153,,105,7,175,7,6,Well-maintained,Flat,Expert,High,6,18,Classic,Alloy,No,Reinforced,No,Stage 3,None
Tesla,Model 3,Electric,34,4,24925,2118625,Off-Road,21,Off-road terrain,High,Rainy,322,,134,9,252,9,5,Poor,New,Expert,Medium,1,18,Luxury,Alloy,Yes,Standard,Yes,Stage 2,Supercharger
Tesla,Model S,Petrol,37,5,67703,5754755,Heavy Traffic,10,City streets,High,Snowy,241,,146,9,187,7,7,Poor,New,Expert,High,1,17,Luxury,Steel,Yes,Reinforced,No,Stage 2,None
Toyota,Corolla,Petrol,26,5,66835,5680975,Highway,32,City streets,High,Snowy,200,,180,9,216,5,6,Poor,New,Expert,High,4,17,Sport,Steel,Yes,Standard,Yes,Stage 1,Supercharger
Hyundai,Kona EV,Petrol,27,5,70053,5954505,Heavy Traffic,27,Off-road terrain,High,Snowy,178,,160,7,173,6,5,Well-maintained,New,Novice,High,8,17,Classic,Carbon Fiber,No,Reinforced,No,Stage 3,None
BMW,X5,Diesel,29,5,29884,2540140,Extreme Weather,-4,Off-road terrain,High,Rainy,187,,102,7,244,8,7,Moderate wear,Worn,Expert,High,8,21,Off-road,Steel,Yes,Standard,No,Stage 2,Supercharger
BMW,X5,Petrol,33,5,49181,4180385,Extreme Weather,24,City streets,Medium,Clear,303,,136,8,264,9,7,Poor,Worn,Expert,Low,1,19,Luxury,Carbon Fiber,No,Reinforced,No,Stage 3,Turbo
Toyota,Corolla,Diesel,22,5,54229,4609465,Heavy Traffic,-1,City streets,High,Clear,181,,183,9,287,9,9,Poor,New,Intermediate,High,9,18,Sport,Carbon Fiber,Yes,Sport,No,Stage 2,Turbo
Hyundai,Kona EV,Diesel,18,5,75489,6416565,Heavy Traffic,28,Off-road terrain,High,Snowy,492,,183,6,255,7,9,Well-maintained,Worn,Novice,Low,8,17,Classic,Steel,No,Sport,No,Stock,Turbo
BMW,3 Series,Diesel,18,5,53690,4563650,Extreme Weather,-4,City streets,Medium,Clear,390,,112,9,277,6,6,Well-maintained,Worn,Intermediate,Low,3,20,Off-road,Alloy,Yes,Reinforced,No,Stage 1,None
BMW,3 Series,Electric,25,4,47475,4035375,Heavy Traffic,2,Off-road terrain,Medium,Clear,392,,192,6,170,7,6,Poor,Worn,Intermediate,Low,7,18,Sport,Carbon Fiber,No,Standard,No,Stock,None
Toyota,Corolla,Diesel,29,5,75803,6443255,Highway,27,Highway,Low,Rainy,244,,134,6,225,7,5,Poor,New,Novice,Low,1,19,Sport,Carbon Fiber,Yes,Standard,No,Stage 3,Turbo
Tesla,Model 3,Petrol,35,4,70982,6033470,Extreme Weather,17,Highway,High,Clear,254,,165,8,156,5,5,Moderate wear,Flat,Intermediate,Low,2,21,Luxury,Steel,Yes,Sport,Yes,Stock,Turbo
