Car_Brand,Model,Engine_Type,Fuel_Efficiency,Safety_Rating,Price,Driving_Condition,Temperature,Road_Type,Traffic_Level,Weather_Condition,Engine_Performance,Battery_Range,Braking_Performance,Comfort_Rating,Emissions,Acceleration,Suspension_Performance,Vehicle_Condition,Tire_Condition,Driver_Experience,Performance_Optimization,Scenario_Adaptability
Tesla,Model 3,Petrol,21,5,31319,Off-Road,6,Off-road terrain,Low,Snowy,241,,122,8,258,9,8,Moderate wear,Flat,Intermediate,Medium,1
Hyundai,Sonata,Diesel,21,4,78182,Urban,20,Highway,Medium,Rainy,437,,185,7,206,9,5,Poor,Flat,Novice,High,10
Tesla,Model S,Electric,27,4,73112,Urban,29,Off-road terrain,Medium,Clear,437,,151,8,267,6,7,Poor,Worn,Expert,Medium,4
Toyota,Corolla,Diesel,38,4,58524,Extreme Weather,3,Off-road terrain,Low,Rainy,336,,169,7,241,6,9,Well-maintained,Flat,Expert,Low,5
Tesla,Model 3,Petrol,31,4,32779,Off-Road,30,Highway,Low,Rainy,217,,143,6,210,7,9,Moderate wear,New,Expert,Low,2
Toyota,Corolla,Diesel,15,5,22586,Urban,19,Highway,Medium,Rainy,338,,102,8,190,9,7,Poor,Worn,Intermediate,Low,8
Ford,F-150,Diesel,21,5,78706,Highway,24,City streets,High,Rainy,360,,130,9,172,9,5,Poor,Flat,Novice,High,1
BMW,X5,Petrol,36,4,61996,Off-Road,5,City streets,Medium,Snowy,497,,123,6,222,6,8,Well-maintained,Worn,Intermediate,Low,1
Mercedes,E-Class,Petrol,29,5,39317,Extreme Weather,8,Highway,Low,Rainy,151,,123,7,213,8,6,Poor,New,Intermediate,Medium,7
Ford,F-150,Petrol,31,5,67409,Extreme Weather,16,Off-road terrain,Medium,Clear,313,,155,8,170,9,5,Poor,Flat,Intermediate,High,6
Hyundai,Sonata,Electric,21,4,66029,Heavy Traffic,-1,Highway,Medium,Snowy,197,,173,7,230,9,8,Well-maintained,New,Novice,Low,1
Hyundai,Sonata,Electric,30,5,54600,Highway,24,City streets,Low,Clear,477,,148,8,205,5,8,Well-maintained,Worn,Novice,High,9
Toyota,Camry,Electric,23,5,65371,Highway,23,Highway,Medium,Rainy,294,,159,7,210,5,5,Moderate wear,Flat,Expert,High,2
BMW,X5,Diesel,34,5,24512,Highway,10,Off-road terrain,High,Clear,379,,123,6,267,6,5,Well-maintained,Worn,Novice,Medium,9
BMW,X5,Diesel,23,5,49369,Off-Road,25,Off-road terrain,Medium,Snowy,386,,198,6,210,9,6,Poor,Flat,Expert,High,4
BMW,3 Series,Electric,30,5,21509,Urban,16,City streets,High,Clear,264,,126,6,195,5,7,Well-maintained,Worn,Novice,Low,10
Toyota,Corolla,Electric,16,4,38880,Highway,30,Off-road terrain,Low,Rainy,317,,137,6,286,9,7,Well-maintained,Flat,Intermediate,Medium,8
Tesla,Model 3,Petrol,33,5,35831,Highway,-3,Highway,Low,Clear,156,,108,8,203,6,9,Poor,Worn,Intermediate,Medium,1
Hyundai,Kona EV,Diesel,30,4,68926,Off-Road,8,City streets,High,Clear,424,,180,8,283,7,5,Well-maintained,Worn,Novice,Low,7
Hyundai,Kona EV,Electric,31,5,65881,Heavy Traffic,18,Off-road terrain,Low,Snowy,239,,167,8,194,8,5,Well-maintained,Flat,Novice,Medium,4
Tesla,Model S,Electric,35,4,66585,Urban,22,City streets,High,Rainy,409,,178,6,257,7,6,Poor,Worn,Expert,Medium,1
Tesla,Model 3,Electric,39,5,31906,Heavy Traffic,-3,City streets,High,Rainy,249,,160,6,271,6,8,Well-maintained,Worn,Intermediate,Low,1
Hyundai,Kona EV,Petrol,35,5,77795,Off-Road,15,City streets,High,Snowy,431,,140,7,187,7,5,Well-maintained,Flat,Expert,Low,1
BMW,X5,Petrol,20,4,75152,Off-Road,8,City streets,Low,Rainy,204,,150,7,178,9,5,Moderate wear,New,Novice,Medium,8
Ford,F-150,Electric,27,4,24001,Heavy Traffic,22,Off-road terrain,High,Snowy,374,,197,6,218,7,9,Poor,Flat,Intermediate,High,7
Hyundai,Kona EV,Electric,19,5,42491,Highway,2,Off-road terrain,Medium,Clear,270,,168,7,271,6,5,Poor,Worn,Intermediate,High,1
BMW,3 Series,Electric,34,5,37625,Heavy Traffic,17,Highway,Medium,Clear,191,,111,6,222,7,8,Poor,Worn,Novice,Medium,3
Ford,Mustang,Diesel,21,4,57271,Heavy Traffic,3,City streets,Medium,Snowy,261,,120,8,238,7,5,Well-maintained,Flat,Intermediate,High,9
Toyota,Corolla,Electric,39,4,39945,Urban,23,Highway,Low,Rainy,345,,193,9,280,7,6,Moderate wear,New,Expert,High,9
Toyota,Corolla,Diesel,37,4,36226,Heavy Traffic,31,Off-road terrain,Low,Rainy,417,,110,9,221,5,8,Moderate wear,Worn,Expert,Medium,1
Ford,Mustang,Petrol,36,4,23130,Extreme Weather,27,Off-road terrain,Low,Snowy,414,,108,6,176,5,8,Well-maintained,New,Intermediate,High,1
Toyota,Camry,Petrol,36,4,57552,Urban,12,City streets,High,Snowy,285,,102,7,174,6,9,Poor,Flat,Intermediate,Medium,5
Toyota,Corolla,Petrol,23,4,58910,Highway,10,Off-road terrain,Medium,Clear,284,,177,8,212,5,7,Well-maintained,New,Novice,Low,9
Mercedes,GLE,Electric,23,5,49048,Heavy Traffic,16,Highway,Low,Clear,359,,149,6,188,7,8,Well-maintained,New,Intermediate,Medium,3
Mercedes,GLE,Electric,24,5,57820,Off-Road,17,Off-road terrain,Medium,Snowy,482,,115,6,247,9,9,Moderate wear,New,Expert,Medium,4
Toyota,Corolla,Diesel,31,5,34677,Extreme Weather,7,Off-road terrain,Low,Rainy,417,,103,6,244,9,5,Poor,Worn,Expert,Low,8
Mercedes,E-Class,Petrol,24,5,75186,Urban,10,City streets,Medium,Rainy,442,,178,6,226,9,7,Moderate wear,Worn,Intermediate,Low,1
Mercedes,E-Class,Electric,22,5,49250,Heavy Traffic,1,Off-road terrain,High,Clear,344,,192,7,252,6,7,Poor,New,Intermediate,High,10
BMW,X5,Electric,15,5,48584,Off-Road,20,City streets,Low,Snowy,154,,177,8,236,8,8,Poor,Flat,Intermediate,Medium,3
Toyota,Corolla,Electric,20,4,28009,Heavy Traffic,25,City streets,High,Rainy,367,,165,6,226,7,6,Poor,New,Intermediate,High,2
Hyundai,Kona EV,Electric,22,5,53979,Off-Road,2,Highway,High,Clear,286,,189,7,229,9,9,Moderate wear,Flat,Expert,Medium,8
BMW,X5,Electric,24,5,54241,Highway,19,City streets,Medium,Snowy,398,,175,6,187,5,6,Well-maintained,Worn,Intermediate,High,2
Hyundai,Kona EV,Petrol,36,5,36571,Extreme Weather,1,City streets,Medium,Snowy,204,,156,6,196,9,5,Well-maintained,New,Intermediate,Low,7
Ford,F-150,Diesel,26,5,57001,Heavy Traffic,-4,Highway,Low,Snowy,465,,146,9,156,7,9,Well-maintained,New,Novice,Low,3
Mercedes,GLE,Electric,39,5,76091,Urban,0,Highway,High,Rainy,403,,196,9,173,9,5,Moderate wear,New,Expert,High,5
BMW,3 Series,Electric,38,5,73232,Highway,12,City streets,Low,Snowy,180,,158,9,279,5,9,Poor,Flat,Expert,Medium,1
Ford,F-150,Petrol,26,4,30315,Highway,29,Off-road terrain,Low,Rainy,270,,167,6,233,6,8,Moderate wear,Worn,Novice,Low,1
Tesla,Model S,Diesel,16,4,66882,Urban,7,Off-road terrain,High,Rainy,260,,176,9,200,6,9,Well-maintained,Worn,Intermediate,High,7
BMW,3 Series,Petrol,25,4,21391,Off-Road,7,City streets,High,Snowy,372,,179,7,274,8,5,Moderate wear,Worn,Intermediate,Medium,4
Toyota,Corolla,Electric,32,4,41392,Highway,-4,Off-road terrain,Medium,Snowy,153,,105,7,175,7,6,Well-maintained,Flat,Expert,High,6
Tesla,Model 3,Electric,34,4,24925,Off-Road,21,Off-road terrain,High,Rainy,322,,134,9,252,9,5,Poor,New,Expert,Medium,1
Tesla,Model S,Petrol,37,5,67703,Heavy Traffic,10,City streets,High,Snowy,241,,146,9,187,7,7,Poor,New,Expert,High,1
Toyota,Corolla,Petrol,26,5,66835,Highway,32,City streets,High,Snowy,200,,180,9,216,5,6,Poor,New,Expert,High,4
Hyundai,Kona EV,Petrol,27,5,70053,Heavy Traffic,27,Off-road terrain,High,Snowy,178,,160,7,173,6,5,Well-maintained,New,Novice,High,8
BMW,X5,Diesel,29,5,29884,Extreme Weather,-4,Off-road terrain,High,Rainy,187,,102,7,244,8,7,Moderate wear,Worn,Expert,High,8
BMW,X5,Petrol,33,5,49181,Extreme Weather,24,City streets,Medium,Clear,303,,136,8,264,9,7,Poor,Worn,Expert,Low,1
Toyota,Corolla,Diesel,22,5,54229,Heavy Traffic,-1,City streets,High,Clear,181,,183,9,287,9,9,Poor,New,Intermediate,High,9
Hyundai,Kona EV,Diesel,18,5,75489,Heavy Traffic,28,Off-road terrain,High,Snowy,492,,183,6,255,7,9,Well-maintained,Worn,Novice,Low,8
BMW,3 Series,Diesel,18,5,53690,Extreme Weather,-4,City streets,Medium,Clear,390,,112,9,277,6,6,Well-maintained,Worn,Intermediate,Low,3
BMW,3 Series,Electric,25,4,47475,Heavy Traffic,2,Off-road terrain,Medium,Clear,392,,192,6,170,7,6,Poor,Worn,Intermediate,Low,7
Toyota,Corolla,Diesel,29,5,75803,Highway,27,Highway,Low,Rainy,244,,134,6,225,7,5,Poor,New,Novice,Low,1
Tesla,Model 3,Petrol,35,4,70982,Extreme Weather,17,Highway,High,Clear,254,,165,8,156,5,5,Moderate wear,Flat,Intermediate,Low,2
Toyota,Camry,Electric,29,5,40437,Highway,28,Off-road terrain,Medium,Clear,191,,192,6,166,8,5,Moderate wear,New,Expert,High,7
Hyundai,Kona EV,Diesel,25,4,69011,Extreme Weather,23,Highway,Medium,Rainy,493,,192,8,201,6,9,Moderate wear,Flat,Novice,Low,10
Ford,Mustang,Electric,35,5,73560,Urban,30,Highway,Medium,Snowy,455,,113,7,165,7,6,Well-maintained,Worn,Intermediate,Low,2
Toyota,Camry,Petrol,23,4,48054,Off-Road,15,Off-road terrain,High,Rainy,473,,124,8,272,6,5,Well-maintained,Flat,Intermediate,High,2
Hyundai,Sonata,Petrol,24,5,69416,Heavy Traffic,23,Highway,High,Rainy,357,,160,8,159,5,9,Moderate wear,Worn,Expert,Low,8
Tesla,Model S,Electric,34,5,71331,Urban,34,Off-road terrain,High,Snowy,248,,173,7,219,7,7,Well-maintained,Flat,Intermediate,High,1
Toyota,Corolla,Electric,37,4,31803,Off-Road,12,Highway,High,Rainy,268,,156,7,278,5,7,Poor,New,Novice,Low,7
Toyota,Corolla,Petrol,24,4,37675,Off-Road,27,Off-road terrain,Low,Clear,436,,159,7,166,6,9,Moderate wear,Worn,Intermediate,High,6
Mercedes,E-Class,Electric,19,5,79409,Off-Road,31,City streets,Medium,Rainy,495,,180,9,150,5,6,Poor,Worn,Expert,High,1
BMW,3 Series,Electric,17,5,34633,Off-Road,28,Off-road terrain,Low,Rainy,420,,164,7,174,6,7,Poor,Flat,Intermediate,Low,6
BMW,X5,Petrol,32,5,49693,Heavy Traffic,-1,Highway,Medium,Snowy,376,,180,7,263,6,9,Moderate wear,Worn,Expert,High,3
Mercedes,E-Class,Electric,34,4,28150,Heavy Traffic,22,Highway,Medium,Snowy,303,,147,9,166,5,9,Moderate wear,Flat,Expert,Medium,3
Ford,F-150,Petrol,24,4,49877,Extreme Weather,8,Off-road terrain,High,Clear,242,,172,9,223,7,5,Well-maintained,New,Novice,Medium,8
Toyota,Corolla,Diesel,24,5,48810,Off-Road,6,City streets,Medium,Snowy,162,,111,8,234,6,8,Moderate wear,New,Novice,High,10
Tesla,Model S,Petrol,26,5,28328,Highway,16,Off-road terrain,Low,Rainy,406,,143,7,187,7,7,Poor,Flat,Expert,Low,10
Tesla,Model 3,Diesel,39,5,54937,Highway,17,Off-road terrain,High,Clear,207,,162,8,201,5,5,Moderate wear,New,Intermediate,High,3
Mercedes,GLE,Electric,35,4,74525,Extreme Weather,0,City streets,Medium,Clear,319,,149,6,153,7,5,Moderate wear,New,Novice,Medium,7
Ford,F-150,Electric,28,4,47207,Urban,1,Highway,Low,Snowy,421,,142,9,222,6,5,Moderate wear,Flat,Expert,High,5
Mercedes,GLE,Petrol,35,5,76243,Off-Road,10,Highway,Low,Clear,497,,137,6,241,5,7,Well-maintained,New,Expert,Medium,9
Ford,F-150,Diesel,32,5,31159,Highway,29,Off-road terrain,High,Rainy,226,,144,9,264,8,5,Moderate wear,Flat,Intermediate,High,9
BMW,X5,Electric,22,4,28562,Heavy Traffic,3,Off-road terrain,Medium,Rainy,370,,123,9,218,9,6,Poor,New,Novice,Medium,7
Mercedes,GLE,Diesel,17,4,23621,Heavy Traffic,-5,Off-road terrain,High,Clear,364,,190,9,239,8,8,Poor,New,Expert,High,4
Hyundai,Kona EV,Diesel,27,4,70226,Highway,-1,City streets,Low,Snowy,404,,153,8,157,5,8,Moderate wear,New,Expert,Low,4
Hyundai,Sonata,Petrol,22,4,29916,Heavy Traffic,27,Highway,Medium,Clear,325,,113,6,229,6,5,Poor,Flat,Expert,High,9
Toyota,Camry,Petrol,37,5,70910,Off-Road,34,City streets,Medium,Clear,419,,158,6,202,7,7,Moderate wear,Flat,Novice,Medium,4
Mercedes,GLE,Diesel,36,5,23065,Off-Road,33,Off-road terrain,Low,Clear,450,,176,9,158,8,9,Poor,New,Expert,High,9
Hyundai,Kona EV,Petrol,18,5,63484,Extreme Weather,21,City streets,Medium,Clear,493,,120,6,284,5,5,Poor,Flat,Expert,Low,6
Ford,Mustang,Electric,35,5,20784,Heavy Traffic,16,City streets,Low,Snowy,200,,149,8,220,6,9,Well-maintained,New,Novice,Medium,3
BMW,X5,Electric,21,4,40598,Heavy Traffic,15,City streets,Medium,Clear,175,,107,6,153,9,9,Well-maintained,Flat,Expert,High,3
Toyota,Corolla,Petrol,26,5,51323,Urban,8,City streets,Medium,Clear,346,,129,9,156,8,8,Poor,Worn,Expert,High,1
Mercedes,E-Class,Diesel,34,5,33782,Highway,23,City streets,Low,Snowy,468,,172,6,206,8,7,Poor,Flat,Novice,Medium,4
Mercedes,E-Class,Petrol,28,5,54293,Off-Road,24,Off-road terrain,Medium,Snowy,344,,120,7,192,9,6,Well-maintained,New,Intermediate,Medium,3
Tesla,Model S,Petrol,23,5,25430,Extreme Weather,17,Highway,Low,Snowy,474,,114,8,152,7,8,Poor,Worn,Expert,High,5
Toyota,Corolla,Petrol,24,5,75065,Urban,25,Highway,High,Rainy,477,,188,9,299,7,5,Well-maintained,Worn,Novice,Low,7
Mercedes,E-Class,Diesel,29,4,25703,Urban,32,Highway,High,Rainy,323,,100,9,256,8,5,Poor,Flat,Intermediate,Medium,9
BMW,3 Series,Electric,28,4,44028,Off-Road,27,Highway,Low,Rainy,440,,166,8,287,7,7,Poor,Worn,Expert,High,5
BMW,X5,Petrol,26,4,69444,Urban,1,City streets,Medium,Clear,298,,110,9,264,6,8,Moderate wear,Worn,Intermediate,High,4
BMW,X5,Petrol,35,5,64498,Highway,0,Off-road terrain,High,Rainy,392,,107,7,159,7,9,Poor,Flat,Expert,Medium,3
BMW,3 Series,Electric,33,5,32342,Highway,10,Off-road terrain,Medium,Snowy,305,,180,9,296,9,8,Well-maintained,New,Expert,Low,1
Hyundai,Kona EV,Diesel,26,5,36484,Extreme Weather,33,Highway,Low,Snowy,319,,139,6,289,6,7,Moderate wear,Worn,Novice,Medium,3
BMW,3 Series,Petrol,36,4,35957,Extreme Weather,32,City streets,Low,Snowy,257,,136,6,240,7,9,Moderate wear,Worn,Intermediate,High,3
Ford,F-150,Petrol,26,5,41795,Urban,11,City streets,Medium,Clear,374,,129,9,161,7,5,Well-maintained,Worn,Expert,High,8
Ford,Mustang,Electric,29,4,74401,Extreme Weather,2,City streets,Low,Clear,440,,122,7,164,6,9,Poor,New,Expert,High,3
Toyota,Corolla,Petrol,24,5,34669,Off-Road,22,Off-road terrain,Medium,Rainy,216,,135,7,269,5,9,Moderate wear,Flat,Novice,Medium,6
Mercedes,E-Class,Petrol,36,5,28080,Heavy Traffic,15,Off-road terrain,High,Clear,491,,111,9,155,9,6,Well-maintained,New,Intermediate,Medium,10
Hyundai,Kona EV,Petrol,24,5,49714,Extreme Weather,2,Off-road terrain,Low,Rainy,458,,198,9,154,5,6,Moderate wear,Flat,Intermediate,High,10
Mercedes,E-Class,Electric,19,4,41101,Off-Road,2,Highway,Medium,Rainy,445,,133,9,194,7,8,Well-maintained,New,Novice,Low,4
Tesla,Model S,Diesel,24,4,47751,Heavy Traffic,17,Highway,Medium,Rainy,485,,174,9,194,9,5,Well-maintained,Flat,Expert,Medium,2
Mercedes,E-Class,Diesel,39,5,51912,Heavy Traffic,7,Highway,Medium,Clear,343,,199,7,154,7,6,Moderate wear,Worn,Novice,High,10
Mercedes,E-Class,Petrol,19,4,64971,Heavy Traffic,8,Highway,High,Snowy,168,,162,9,243,7,6,Moderate wear,Worn,Intermediate,Medium,5
Tesla,Model 3,Electric,19,5,20510,Heavy Traffic,7,Off-road terrain,Medium,Clear,480,,158,8,208,6,9,Moderate wear,New,Novice,Medium,9
Toyota,Corolla,Diesel,38,4,45816,Extreme Weather,9,Highway,Medium,Rainy,181,,108,8,254,5,9,Poor,New,Intermediate,High,4
BMW,3 Series,Diesel,16,4,28744,Off-Road,32,Highway,Medium,Snowy,460,,155,7,283,6,5,Well-maintained,New,Novice,High,3
BMW,3 Series,Electric,37,5,62255,Urban,32,Off-road terrain,Low,Snowy,291,,105,6,172,8,7,Well-maintained,Flat,Intermediate,Medium,6
Ford,Mustang,Petrol,28,4,40942,Extreme Weather,30,City streets,High,Clear,171,,186,9,235,9,9,Moderate wear,New,Intermediate,High,7
Ford,F-150,Diesel,23,4,77988,Heavy Traffic,17,Highway,High,Clear,256,,152,6,238,9,5,Well-maintained,New,Expert,Medium,6
Tesla,Model S,Electric,26,4,60861,Urban,23,City streets,Low,Clear,249,,185,6,284,8,9,Poor,New,Novice,Medium,3
BMW,3 Series,Petrol,26,5,23996,Highway,-2,Off-road terrain,High,Clear,490,,116,9,290,8,6,Well-maintained,Worn,Expert,High,1
Toyota,Corolla,Petrol,19,5,69656,Highway,14,City streets,High,Rainy,364,,132,7,269,5,5,Poor,New,Novice,High,6
Tesla,Model 3,Diesel,18,5,61609,Urban,13,Off-road terrain,High,Rainy,233,,182,7,206,6,8,Moderate wear,Worn,Expert,High,7
Ford,Mustang,Diesel,32,5,64348,Highway,14,Highway,Low,Rainy,395,,180,7,290,8,6,Well-maintained,Worn,Novice,Medium,2
Ford,Mustang,Electric,22,4,50164,Extreme Weather,24,Highway,Medium,Clear,287,,147,8,256,6,5,Well-maintained,Worn,Intermediate,Low,7
Tesla,Model S,Electric,23,4,66581,Heavy Traffic,7,Off-road terrain,High,Snowy,439,,180,8,235,7,6,Poor,Flat,Expert,High,9
Mercedes,E-Class,Electric,36,5,53593,Heavy Traffic,-1,City streets,Low,Rainy,154,,159,9,170,8,6,Well-maintained,Worn,Intermediate,Low,5
Toyota,Camry,Electric,17,4,51171,Extreme Weather,28,Highway,High,Clear,316,,141,8,219,6,5,Well-maintained,New,Intermediate,High,9
Mercedes,GLE,Electric,26,5,73871,Highway,-5,Off-road terrain,Medium,Clear,285,,154,9,196,6,9,Moderate wear,Worn,Novice,Low,1
Hyundai,Sonata,Electric,28,5,31280,Off-Road,-2,City streets,High,Rainy,457,,109,7,246,7,6,Poor,Worn,Novice,Low,2
BMW,3 Series,Petrol,22,4,69684,Highway,18,Highway,High,Rainy,244,,161,6,274,6,6,Poor,New,Intermediate,Medium,10
BMW,X5,Electric,16,5,20260,Extreme Weather,19,City streets,Low,Clear,350,,169,7,168,5,8,Poor,New,Intermediate,High,8
Toyota,Corolla,Diesel,19,4,59451,Heavy Traffic,11,City streets,High,Snowy,367,,114,8,285,9,7,Well-maintained,New,Expert,High,6
Ford,F-150,Diesel,15,5,32812,Highway,-1,City streets,Low,Clear,238,,146,9,159,8,5,Moderate wear,Worn,Expert,Medium,4
Tesla,Model 3,Electric,31,5,31043,Urban,8,Highway,High,Rainy,259,,166,7,235,7,7,Moderate wear,New,Intermediate,High,1
Mercedes,GLE,Electric,22,4,32823,Off-Road,29,Off-road terrain,Medium,Snowy,258,,143,7,248,8,5,Well-maintained,Worn,Expert,Low,6
BMW,X5,Diesel,24,5,24179,Urban,22,Off-road terrain,High,Clear,256,,139,7,169,7,8,Poor,New,Intermediate,High,6
Tesla,Model S,Diesel,39,5,68764,Extreme Weather,31,City streets,Medium,Clear,496,,159,9,172,8,9,Poor,Worn,Expert,Medium,4
Hyundai,Sonata,Diesel,24,5,70908,Off-Road,9,Off-road terrain,High,Clear,269,,179,6,277,7,7,Well-maintained,New,Intermediate,Medium,2
Ford,Mustang,Electric,29,5,69997,Heavy Traffic,31,City streets,Low,Snowy,475,,179,6,187,9,5,Moderate wear,New,Novice,Medium,4
BMW,3 Series,Diesel,30,5,78541,Highway,12,City streets,Low,Snowy,484,,156,6,219,7,8,Well-maintained,New,Expert,High,8
Mercedes,GLE,Diesel,25,5,50314,Highway,-2,City streets,Medium,Rainy,150,,124,7,212,5,7,Well-maintained,Flat,Intermediate,Low,6
Ford,F-150,Electric,32,5,76271,Highway,0,Off-road terrain,High,Snowy,291,,137,9,260,5,7,Poor,New,Novice,High,5
Mercedes,GLE,Diesel,39,4,26765,Extreme Weather,-2,City streets,High,Clear,286,,102,7,249,5,5,Well-maintained,Worn,Expert,Low,10
Toyota,Camry,Diesel,24,4,45274,Extreme Weather,16,Highway,Low,Clear,360,,124,7,234,8,8,Poor,Worn,Expert,Medium,5
Ford,Mustang,Diesel,26,4,50540,Extreme Weather,6,Off-road terrain,Medium,Snowy,192,,150,7,249,5,7,Poor,New,Expert,Low,1
Ford,F-150,Electric,19,4,38161,Extreme Weather,1,City streets,Low,Snowy,236,,156,8,252,5,7,Moderate wear,New,Expert,Low,10
Tesla,Model S,Petrol,35,5,55285,Off-Road,24,Highway,Low,Snowy,458,,186,7,238,5,8,Well-maintained,New,Intermediate,Low,3
Ford,Mustang,Petrol,39,5,34817,Heavy Traffic,26,City streets,Low,Snowy,465,,158,6,207,8,6,Well-maintained,Worn,Expert,Low,9
Toyota,Corolla,Diesel,28,4,77647,Urban,0,Highway,High,Clear,428,,183,6,196,8,5,Moderate wear,Worn,Novice,Medium,4
Toyota,Camry,Diesel,32,5,64052,Off-Road,21,City streets,Low,Clear,383,,189,6,185,5,8,Moderate wear,New,Novice,Medium,3
Mercedes,GLE,Petrol,37,4,56373,Heavy Traffic,31,Highway,Low,Clear,379,,179,6,156,7,5,Well-maintained,Worn,Novice,Medium,3
BMW,3 Series,Electric,34,5,74638,Urban,11,Highway,High,Clear,165,,152,9,249,8,9,Well-maintained,Worn,Expert,Medium,5
Toyota,Corolla,Electric,36,5,68807,Highway,31,Off-road terrain,Medium,Snowy,389,,111,6,259,6,5,Moderate wear,Flat,Novice,Low,2
Toyota,Corolla,Diesel,36,4,26608,Heavy Traffic,7,Off-road terrain,High,Snowy,202,,189,9,226,8,8,Moderate wear,New,Novice,High,2
Ford,Mustang,Petrol,23,5,31183,Extreme Weather,27,Off-road terrain,High,Clear,227,,108,8,197,7,9,Poor,Flat,Expert,Medium,2
BMW,X5,Electric,15,4,35977,Heavy Traffic,6,Off-road terrain,High,Snowy,295,,149,7,275,6,9,Well-maintained,New,Intermediate,Medium,10
Mercedes,GLE,Electric,26,4,72208,Heavy Traffic,25,City streets,Medium,Rainy,438,,125,7,249,5,7,Poor,Worn,Novice,Low,7
Ford,F-150,Diesel,17,4,37326,Extreme Weather,11,Highway,Medium,Rainy,335,,161,6,283,7,5,Poor,New,Novice,Medium,10
Hyundai,Kona EV,Diesel,30,4,74380,Off-Road,4,Highway,Medium,Rainy,423,,180,7,259,6,9,Moderate wear,Worn,Expert,High,9
BMW,X5,Diesel,18,5,76232,Heavy Traffic,-1,Off-road terrain,Medium,Rainy,200,,151,7,157,5,9,Well-maintained,Flat,Expert,Low,1
Ford,F-150,Diesel,29,4,45208,Heavy Traffic,18,Off-road terrain,Low,Rainy,264,,147,6,162,9,7,Poor,Flat,Intermediate,Medium,1
Tesla,Model 3,Petrol,24,5,40545,Heavy Traffic,5,City streets,High,Snowy,216,,168,8,173,5,6,Moderate wear,Flat,Intermediate,Medium,5
Tesla,Model S,Petrol,29,5,51510,Heavy Traffic,27,Highway,Medium,Snowy,266,,123,7,188,6,7,Moderate wear,Worn,Novice,High,10
BMW,X5,Diesel,33,4,22473,Off-Road,21,City streets,Medium,Clear,488,,169,6,232,9,7,Moderate wear,Worn,Novice,Medium,7
BMW,3 Series,Petrol,32,4,78235,Heavy Traffic,7,Off-road terrain,Medium,Clear,373,,177,8,280,5,6,Well-maintained,Flat,Intermediate,Low,2
Hyundai,Sonata,Electric,21,4,31939,Highway,-5,Off-road terrain,Low,Snowy,265,,151,9,288,7,9,Moderate wear,Worn,Intermediate,High,10
Mercedes,GLE,Petrol,32,4,28831,Highway,34,Highway,Low,Rainy,155,,184,8,185,8,5,Poor,Worn,Novice,High,10
Ford,Mustang,Petrol,17,4,21848,Heavy Traffic,20,Highway,High,Rainy,212,,163,7,283,7,6,Poor,Flat,Novice,High,3
Hyundai,Sonata,Petrol,27,4,23774,Extreme Weather,8,Off-road terrain,High,Snowy,348,,175,6,281,6,7,Moderate wear,Flat,Intermediate,Low,10
Hyundai,Sonata,Petrol,29,5,59994,Urban,3,Off-road terrain,Low,Clear,471,,174,8,157,9,8,Poor,Flat,Intermediate,High,2
Toyota,Corolla,Electric,18,4,62381,Off-Road,33,City streets,High,Snowy,358,,136,9,286,6,8,Well-maintained,New,Intermediate,High,4
Mercedes,E-Class,Petrol,23,4,46924,Urban,26,Highway,Low,Clear,179,,183,7,209,5,8,Well-maintained,New,Expert,Low,4
Toyota,Camry,Diesel,37,5,52963,Urban,19,Highway,High,Rainy,284,,112,9,192,5,8,Moderate wear,Worn,Expert,Medium,5
BMW,X5,Diesel,36,5,41087,Off-Road,23,Highway,Low,Rainy,421,,118,6,265,7,6,Moderate wear,New,Novice,Medium,8
BMW,X5,Diesel,23,4,69901,Heavy Traffic,7,City streets,High,Rainy,235,,163,9,229,7,6,Moderate wear,Worn,Novice,Low,1
Mercedes,E-Class,Electric,35,4,25190,Urban,3,Highway,Medium,Snowy,289,,170,7,196,9,6,Poor,New,Expert,Medium,5
Mercedes,E-Class,Diesel,28,4,59293,Urban,33,City streets,Low,Clear,186,,107,8,226,9,7,Moderate wear,Worn,Novice,Low,6
Hyundai,Kona EV,Electric,31,4,50649,Extreme Weather,5,City streets,Medium,Clear,253,,133,7,276,9,7,Well-maintained,Worn,Expert,Low,7
Mercedes,GLE,Diesel,23,4,47407,Highway,7,Highway,Low,Snowy,431,,127,6,226,9,8,Well-maintained,Flat,Intermediate,Low,5
Ford,F-150,Petrol,30,4,70831,Off-Road,14,Off-road terrain,Low,Rainy,315,,171,8,227,8,5,Poor,Flat,Intermediate,High,5
Toyota,Camry,Petrol,23,4,68795,Urban,28,Off-road terrain,Low,Clear,197,,130,9,257,5,5,Poor,Worn,Expert,Low,7
Ford,Mustang,Electric,38,5,53357,Urban,11,City streets,Low,Clear,484,,155,6,217,6,8,Moderate wear,Worn,Novice,Low,10
Tesla,Model S,Electric,27,5,21942,Highway,31,City streets,High,Rainy,487,,148,8,283,6,6,Moderate wear,New,Novice,Medium,7
Ford,F-150,Electric,23,5,61018,Heavy Traffic,-4,Off-road terrain,High,Rainy,314,,170,9,247,7,6,Well-maintained,Worn,Expert,Low,7
Tesla,Model 3,Diesel,29,5,57010,Extreme Weather,29,Off-road terrain,Medium,Snowy,405,,163,7,252,5,7,Moderate wear,New,Intermediate,Low,6
